Years_of_Experience,Salary,Job_Satisfaction,Stress_Level,Commute_Distance,Gender,Department,Promotion_Last_Year,Work_Mode,Performance_Rating
11.4,101087.13,4.5,6.3,19.2,Female,Marketing,No,Remote,4.8
8.3,97453.18,4.3,6.2,25.4,Male,Product Management,No,Remote,3.5
11.1,66157.08,2.9,6.6,26.2,Female,Product Management,Yes,Remote,4.7
7.0,76947.93,3.4,6.8,24.7,Female,Marketing,No,On-site,3.0
16.4,130642.54,5.8,4.2,18.8,Male,Marketing,No,Remote,6.9
9.4,102291.45,4.5,4.7,19.0,Female,Marketing,No,Remote,4.0
8.1,85013.85,3.8,6.5,25.7,Female,Marketing,Yes,Remote,3.4
5.4,57670.05,2.6,8.8,29.9,Male,Product Management,No,On-site,2.3
11.3,80766.63,3.6,6.4,25.7,Female,Product Management,Yes,Remote,4.8
10.9,101271.5,4.5,4.6,20.6,Male,Software Development,Yes,On-site,4.6
11.9,102555.67,4.6,5.5,20.2,Male,Marketing,No,On-site,5.0
4.9,41052.9,1.8,7.2,28.3,Male,Product Management,Yes,On-site,2.0
2.0,41731.79,1.9,8.9,34.6,Female,Marketing,No,Remote,1.0
13.1,72499.85,3.2,7.1,24.9,Male,Product Management,Yes,On-site,5.5
17.4,124625.22,5.5,4.4,20.0,Male,Product Management,No,Remote,7.3
4.9,62213.37,2.8,7.0,28.1,Female,Software Development,No,On-site,2.0
17.9,148592.1,6.6,3.3,11.8,Male,Software Development,No,On-site,7.5
11.4,85341.59,3.8,6.2,24.1,Female,Product Management,No,Remote,4.8
10.0,96993.36,4.3,5.3,21.6,Female,Marketing,No,On-site,4.2
8.0,61127.5,2.7,6.3,32.8,Female,Marketing,No,Remote,3.4
3.1,40548.41,1.8,9.1,31.3,Female,Product Management,No,Remote,1.3
14.9,130304.99,5.8,4.1,16.3,Male,Product Management,No,Remote,6.3
6.1,70398.18,3.1,7.0,32.4,Male,Software Development,No,On-site,2.6
6.1,54187.34,2.4,7.8,32.3,Female,Software Development,No,On-site,2.6
15.0,108174.34,4.8,5.4,25.1,Female,Software Development,No,On-site,6.3
1.0,30111.94,1.3,7.6,40.1,Male,Marketing,No,On-site,1.0
2.4,21746.71,1.0,7.5,32.0,Female,Software Development,No,Remote,1.0
9.9,105849.66,4.7,5.0,23.8,Male,Marketing,Yes,On-site,4.2
11.5,98107.13,4.4,5.9,26.9,Female,Software Development,No,Remote,4.8
12.4,94590.18,4.2,5.4,27.7,Female,Marketing,No,On-site,5.2
8.5,99352.15,4.4,5.4,25.1,Female,Software Development,No,On-site,3.6
22.7,222289.32,9.9,0.2,0.6,Female,Marketing,No,Remote,9.5
8.9,78500.93,3.5,5.3,25.1,Female,Marketing,Yes,Remote,3.7
8.8,88492.22,3.9,5.6,21.7,Male,Software Development,No,Remote,3.7
6.0,47320.51,2.1,9.4,30.2,Female,Product Management,No,On-site,2.5
10.6,113138.94,5.0,5.0,15.8,Female,Software Development,No,Remote,4.5
13.1,147501.58,6.5,3.2,16.1,Female,Marketing,No,Remote,5.5
16.0,146792.45,6.5,3.9,13.4,Female,Product Management,No,On-site,6.7
2.6,22611.06,1.0,9.0,41.8,Male,Marketing,No,Remote,1.1
8.8,77065.29,3.4,6.4,22.3,Female,Product Management,No,Remote,3.7
12.2,120020.53,5.3,4.8,21.2,Female,Software Development,No,On-site,5.1
12.9,94062.99,4.2,5.4,21.9,Male,Marketing,No,Remote,5.4
10.0,117123.76,5.2,4.3,16.1,Male,Marketing,No,On-site,4.2
12.7,122767.97,5.4,4.5,21.9,Female,Software Development,No,Remote,5.3
6.0,59123.97,2.6,6.6,33.6,Male,Marketing,Yes,Remote,2.5
17.8,141594.33,6.3,3.7,15.3,Male,Software Development,Yes,Remote,7.5
15.0,107792.05,4.8,5.4,21.0,Male,Marketing,Yes,Remote,6.3
3.3,47662.45,2.1,8.6,33.3,Female,Product Management,No,On-site,1.4
4.6,48031.29,2.1,8.8,32.2,Female,Software Development,No,On-site,1.9
4.8,71764.65,3.2,6.5,24.6,Male,Software Development,No,Remote,2.0
13.4,156448.9,6.9,3.2,11.6,Female,Marketing,No,Remote,5.6
3.6,43060.79,1.9,8.5,40.3,Female,Marketing,No,Remote,1.5
8.3,55805.68,2.5,7.8,40.1,Male,Product Management,No,Remote,3.5
12.3,104328.57,4.6,5.1,25.7,Male,Marketing,Yes,Remote,5.1
9.7,57304.8,2.5,6.7,31.6,Female,Software Development,No,On-site,4.1
11.3,101699.23,4.5,5.8,21.0,Male,Product Management,Yes,Remote,4.7
4.7,54269.44,2.4,6.3,27.3,Female,Product Management,Yes,Remote,2.0
13.0,135666.02,6.0,3.9,14.5,Male,Marketing,Yes,Remote,5.4
6.9,79352.79,3.5,4.8,24.1,Male,Marketing,Yes,Remote,2.9
8.4,75142.4,3.3,5.8,33.8,Female,Software Development,Yes,On-site,3.5
11.2,60100.89,2.7,6.7,36.0,Male,Software Development,No,Remote,4.7
10.5,92225.1,4.1,6.6,25.8,Female,Software Development,Yes,Remote,4.4
10.1,85419.18,3.8,6.6,21.9,Male,Marketing,No,Remote,4.2
6.2,76884.7,3.4,6.2,29.3,Male,Product Management,Yes,On-site,2.6
8.5,67001.75,3.0,7.5,27.3,Male,Marketing,Yes,Remote,3.6
10.0,86190.01,3.8,6.7,18.1,Male,Software Development,No,On-site,4.2
3.1,41725.36,1.9,8.0,33.8,Male,Software Development,No,Remote,1.3
7.7,44889.68,2.0,6.9,28.7,Male,Software Development,No,On-site,3.2
11.9,86378.39,3.8,6.0,22.2,Female,Marketing,No,On-site,5.0
3.6,31629.34,1.4,8.5,33.3,Female,Marketing,No,Remote,1.5
15.8,150680.65,6.7,2.9,12.4,Male,Software Development,No,On-site,6.6
16.3,126412.63,5.6,4.6,17.5,Female,Marketing,No,On-site,6.9
3.8,42409.54,1.9,8.3,32.1,Male,Software Development,No,Remote,1.6
16.8,108862.88,4.8,5.4,15.8,Male,Software Development,Yes,Remote,7.0
9.3,39397.21,1.7,8.5,39.3,Female,Software Development,No,On-site,3.9
12.1,130307.13,5.8,4.5,14.8,Male,Software Development,No,On-site,5.1
7.5,71103.77,3.2,6.7,24.1,Male,Software Development,No,On-site,3.2
14.6,107137.48,4.8,5.4,20.1,Male,Software Development,No,On-site,6.1
12.0,78632.74,3.5,6.3,25.7,Female,Product Management,Yes,On-site,5.0
5.9,70057.15,3.1,6.5,32.6,Female,Product Management,No,On-site,2.5
4.2,49528.88,2.2,8.8,32.3,Male,Marketing,Yes,Remote,1.8
2.7,35001.43,1.6,6.7,36.2,Male,Product Management,No,Remote,1.1
10.9,89561.29,4.0,6.6,24.9,Female,Software Development,Yes,On-site,4.6
12.9,146779.85,6.5,3.3,14.3,Female,Product Management,Yes,Remote,5.4
13.3,114377.93,5.1,4.6,20.5,Male,Software Development,No,Remote,5.6
9.4,85400.03,3.8,6.4,18.8,Male,Marketing,No,On-site,3.9
4.2,28383.27,1.3,7.4,33.9,Male,Marketing,Yes,Remote,1.8
6.6,48899.48,2.2,7.2,35.9,Female,Software Development,No,Remote,2.8
15.8,118270.27,5.2,4.3,28.4,Female,Product Management,Yes,Remote,6.6
7.6,79968.83,3.5,6.3,21.9,Male,Software Development,Yes,On-site,3.2
10.7,120068.62,5.3,4.3,19.7,Male,Software Development,Yes,On-site,4.5
4.6,32133.06,1.4,9.9,31.8,Female,Software Development,No,Remote,1.9
11.7,80754.9,3.6,7.6,32.2,Female,Software Development,No,Remote,4.9
7.7,64266.62,2.9,5.7,23.8,Female,Software Development,No,Remote,3.2
15.2,132732.57,5.9,4.3,17.7,Male,Software Development,No,Remote,6.4
13.9,114532.71,5.1,5.3,16.2,Female,Software Development,Yes,Remote,5.8
7.5,79919.02,3.5,6.8,24.8,Female,Product Management,No,Remote,3.2
9.4,93369.29,4.1,5.5,23.3,Male,Software Development,No,Remote,3.9
7.2,62107.43,2.8,7.1,32.8,Female,Software Development,Yes,Remote,3.0
2.9,44728.36,2.0,7.4,27.7,Female,Marketing,No,Remote,1.2
5.7,67793.81,3.0,6.7,30.3,Female,Product Management,No,On-site,2.4
11.0,82976.22,3.7,5.6,25.3,Female,Software Development,No,On-site,4.6
11.6,129729.75,5.8,4.2,17.5,Male,Software Development,No,On-site,4.9
10.7,119929.2,5.3,4.0,20.9,Male,Product Management,No,On-site,4.5
8.5,94948.73,4.2,5.7,19.4,Male,Software Development,No,Remote,3.6
14.7,55316.61,2.5,6.6,33.2,Female,Marketing,No,On-site,6.2
10.3,111466.94,4.9,5.2,18.8,Male,Software Development,Yes,Remote,4.3
13.5,130763.89,5.8,3.9,19.1,Female,Product Management,No,On-site,5.7
1.1,25907.91,1.1,9.1,36.9,Male,Product Management,Yes,On-site,1.0
1.0,19229.89,1.0,10.0,35.1,Female,Product Management,Yes,On-site,1.0
11.4,130602.69,5.8,4.9,15.6,Female,Software Development,No,On-site,4.8
2.9,46819.25,2.1,5.9,34.9,Female,Marketing,No,On-site,1.2
8.9,102981.05,4.6,5.0,25.1,Female,Software Development,No,On-site,3.7
8.5,111334.96,4.9,4.9,18.9,Female,Product Management,No,Remote,3.6
17.9,148060.38,6.6,3.6,11.8,Male,Product Management,Yes,On-site,7.5
12.0,68544.2,3.0,5.8,30.2,Male,Marketing,No,Remote,5.0
10.8,90460.54,4.0,5.4,19.6,Male,Marketing,Yes,On-site,4.5
14.2,125854.23,5.6,4.5,14.8,Female,Software Development,No,Remote,5.9
11.8,100016.22,4.4,5.6,19.3,Male,Marketing,No,Remote,5.0
7.7,59162.55,2.6,7.7,28.0,Female,Marketing,Yes,On-site,3.2
15.4,86870.24,3.9,6.4,20.5,Male,Software Development,No,Remote,6.4
4.5,37030.07,1.6,8.6,25.3,Female,Software Development,No,On-site,1.9
11.6,113182.11,5.0,5.1,17.1,Female,Software Development,No,Remote,4.9
2.3,35515.63,1.6,8.5,36.4,Female,Product Management,No,On-site,1.0
11.0,113446.75,5.0,5.3,16.7,Female,Product Management,Yes,On-site,4.6
11.0,110866.42,4.9,3.9,19.5,Male,Product Management,Yes,On-site,4.6
18.4,152005.72,6.7,3.8,16.2,Male,Product Management,Yes,Remote,7.7
2.2,37561.36,1.7,6.5,33.1,Female,Marketing,Yes,Remote,1.0
7.0,67589.07,3.0,6.2,29.2,Male,Software Development,No,On-site,2.9
14.1,105560.68,4.7,5.2,18.7,Female,Product Management,No,Remote,5.9
11.7,100556.27,4.5,5.9,28.1,Female,Marketing,No,Remote,4.9
10.9,105083.67,4.7,3.7,19.9,Female,Marketing,No,On-site,4.6
5.2,60085.07,2.7,7.3,28.5,Male,Marketing,No,Remote,2.2
7.0,84951.39,3.8,6.7,29.0,Female,Product Management,No,Remote,3.0
16.2,124049.23,5.5,4.9,17.6,Male,Software Development,No,Remote,6.8
9.7,51045.02,2.3,7.2,31.1,Male,Software Development,No,Remote,4.1
11.9,90733.61,4.0,5.8,23.0,Male,Marketing,No,On-site,5.0
9.4,95232.81,4.2,5.4,22.3,Male,Product Management,Yes,Remote,4.0
4.1,48628.58,2.2,7.5,32.8,Male,Marketing,No,On-site,1.7
14.7,110187.17,4.9,4.6,21.8,Male,Marketing,Yes,Remote,6.2
12.5,117406.47,5.2,4.4,17.6,Female,Software Development,No,Remote,5.2
21.5,177500.02,7.9,2.2,7.7,Male,Product Management,No,Remote,9.0
4.9,52561.17,2.3,7.8,28.3,Female,Product Management,Yes,Remote,2.1
14.1,138850.03,6.2,4.0,12.7,Male,Marketing,No,On-site,5.9
3.4,37872.95,1.7,8.5,26.7,Male,Software Development,No,On-site,1.4
10.8,79090.26,3.5,6.9,26.9,Female,Product Management,No,Remote,4.5
14.9,124987.22,5.5,4.8,19.9,Female,Marketing,No,On-site,6.2
1.0,31406.61,1.4,7.1,38.2,Male,Product Management,Yes,Remote,1.0
9.0,94014.6,4.2,5.3,16.4,Male,Software Development,No,Remote,3.8
7.2,58553.67,2.6,7.2,28.7,Male,Software Development,No,Remote,3.0
6.5,61378.5,2.7,7.3,25.1,Male,Product Management,Yes,On-site,2.7
11.9,100269.5,4.5,5.2,22.6,Female,Software Development,No,Remote,5.0
15.6,142093.33,6.3,4.0,14.0,Female,Marketing,No,On-site,6.5
9.3,82126.67,3.6,7.6,27.3,Male,Marketing,Yes,Remote,3.9
11.0,95102.94,4.2,5.9,23.1,Female,Product Management,No,Remote,4.6
10.6,99972.54,4.4,5.6,17.0,Male,Software Development,Yes,Remote,4.4
10.0,95200.81,4.2,6.3,20.3,Female,Software Development,No,On-site,4.2
4.6,52447.35,2.3,6.2,30.7,Female,Product Management,No,On-site,1.9
15.5,171864.78,7.6,2.4,9.6,Female,Marketing,Yes,Remote,6.5
11.5,80546.5,3.6,7.1,21.2,Male,Software Development,No,On-site,4.8
12.0,95595.33,4.2,5.4,18.6,Female,Software Development,Yes,Remote,5.0
6.0,51301.31,2.3,6.8,31.1,Male,Product Management,No,On-site,2.5
7.7,84415.69,3.7,6.1,20.6,Female,Software Development,No,On-site,3.2
9.1,62988.69,2.8,7.2,22.8,Male,Marketing,No,On-site,3.8
2.3,39442.81,1.8,7.5,31.2,Male,Marketing,Yes,On-site,1.0
1.6,38452.09,1.7,10.0,31.1,Female,Product Management,No,Remote,1.0
7.0,71910.37,3.2,6.5,24.2,Male,Product Management,No,On-site,2.9
12.6,93740.02,4.2,5.2,21.3,Female,Marketing,No,Remote,5.3
6.7,61741.82,2.7,7.2,29.1,Female,Software Development,No,Remote,2.8
4.9,62155.56,2.8,7.9,26.4,Female,Product Management,Yes,Remote,2.1
5.9,60932.11,2.7,7.3,29.4,Male,Marketing,No,Remote,2.5
7.7,69729.2,3.1,7.2,26.3,Male,Product Management,No,Remote,3.2
8.2,66499.48,3.0,6.4,28.8,Female,Marketing,No,Remote,3.5
20.8,209976.82,9.3,0.8,3.0,Male,Marketing,No,Remote,8.7
15.3,121620.63,5.4,4.9,20.3,Female,Software Development,No,Remote,6.4
15.1,110118.76,4.9,5.6,23.7,Female,Product Management,Yes,On-site,6.3
15.8,116339.6,5.2,5.0,21.4,Female,Software Development,Yes,Remote,6.6
5.0,60294.09,2.7,7.9,30.2,Female,Software Development,Yes,On-site,2.1
3.9,44272.54,2.0,7.3,30.4,Female,Software Development,Yes,Remote,1.6
4.5,45678.71,2.0,7.6,30.3,Male,Software Development,No,Remote,1.9
16.7,103715.16,4.6,6.1,19.2,Male,Software Development,No,Remote,7.0
7.3,65651.65,2.9,8.2,28.4,Male,Software Development,No,Remote,3.0
3.7,46892.15,2.1,7.0,34.4,Female,Product Management,No,On-site,1.6
7.8,70786.02,3.1,7.0,24.9,Female,Software Development,No,On-site,3.3
8.8,78367.86,3.5,6.2,26.0,Female,Product Management,No,Remote,3.7
11.3,126167.47,5.6,4.1,16.1,Female,Software Development,No,Remote,4.8
11.3,114095.89,5.1,5.1,20.3,Female,Marketing,No,On-site,4.7
5.9,47117.99,2.1,8.8,29.5,Male,Marketing,No,Remote,2.5
13.4,100223.69,4.4,5.8,20.2,Male,Product Management,Yes,Remote,5.6
6.8,61148.46,2.7,7.1,26.7,Male,Product Management,Yes,On-site,2.9
9.2,94871.33,4.2,6.1,24.6,Female,Marketing,No,Remote,3.9
13.4,116073.1,5.2,4.7,19.2,Male,Product Management,No,On-site,5.6
6.8,65786.15,2.9,7.4,26.8,Female,Software Development,No,On-site,2.8
7.2,58522.95,2.6,8.4,30.6,Female,Marketing,No,Remote,3.0
13.0,84120.88,3.7,5.0,23.8,Male,Software Development,No,Remote,5.4
5.7,61534.72,2.7,7.8,33.2,Male,Software Development,No,Remote,2.4
8.1,65736.78,2.9,6.0,24.9,Male,Software Development,No,Remote,3.4
12.8,126560.45,5.6,4.9,17.1,Male,Product Management,No,On-site,5.4
20.3,145802.92,6.5,3.3,11.6,Female,Marketing,Yes,On-site,8.5
13.0,110371.99,4.9,4.5,19.5,Male,Product Management,No,Remote,5.5
12.4,76671.94,3.4,7.1,20.8,Female,Marketing,Yes,Remote,5.2
12.7,111459.52,4.9,5.2,22.1,Female,Software Development,No,Remote,5.3
4.6,58341.77,2.6,6.7,32.5,Male,Product Management,No,Remote,1.9
10.6,92387.19,4.1,5.2,25.9,Female,Product Management,No,On-site,4.4
9.9,105059.93,4.7,5.2,21.4,Female,Product Management,No,On-site,4.1
11.6,104016.51,4.6,4.7,19.2,Female,Marketing,No,Remote,4.9
10.6,70341.59,3.1,6.1,24.8,Male,Product Management,No,Remote,4.4
11.9,92278.55,4.1,6.0,28.1,Male,Product Management,No,On-site,5.0
8.4,88896.76,3.9,5.5,28.6,Male,Software Development,No,Remote,3.5
10.3,120480.76,5.3,4.9,18.9,Male,Software Development,No,On-site,4.3
3.9,47688.69,2.1,9.1,29.5,Female,Software Development,No,Remote,1.6
8.4,89523.93,4.0,5.9,28.2,Female,Software Development,Yes,On-site,3.5
17.0,149879.13,6.7,3.4,12.2,Female,Marketing,Yes,On-site,7.1
11.6,124055.19,5.5,5.4,18.5,Male,Product Management,No,On-site,4.9
9.9,52703.89,2.3,6.8,35.8,Male,Marketing,No,On-site,4.2
19.5,174887.12,7.8,2.5,8.0,Female,Product Management,No,On-site,8.2
3.2,45560.0,2.0,8.8,35.2,Male,Marketing,No,On-site,1.3
4.5,43723.61,1.9,8.7,34.3,Male,Software Development,No,On-site,1.9
18.6,122165.19,5.4,5.2,18.2,Female,Software Development,No,On-site,7.8
10.2,78970.35,3.5,6.7,22.8,Male,Marketing,No,On-site,4.3
8.8,70236.78,3.1,6.5,25.0,Female,Product Management,No,Remote,3.7
4.0,43477.17,1.9,9.0,33.4,Male,Product Management,No,Remote,1.7
12.2,110524.82,4.9,5.7,16.8,Female,Software Development,No,On-site,5.1
12.7,125778.77,5.6,4.9,18.0,Female,Product Management,Yes,Remote,5.3
4.5,62842.11,2.8,7.2,30.8,Male,Software Development,Yes,On-site,1.9
9.3,72801.24,3.2,6.3,30.4,Female,Marketing,No,Remote,3.9
8.3,65962.56,2.9,7.2,23.3,Female,Marketing,No,Remote,3.5
11.3,120318.64,5.3,5.1,21.7,Female,Software Development,No,On-site,4.7
4.4,51525.07,2.3,8.5,37.4,Male,Software Development,No,On-site,1.8
16.3,134039.65,5.9,3.9,17.0,Female,Software Development,No,Remote,6.8
14.6,142560.87,6.3,3.8,12.8,Male,Software Development,No,On-site,6.1
8.2,72359.58,3.2,5.9,26.0,Female,Product Management,No,On-site,3.4
8.9,88049.36,3.9,6.7,24.2,Female,Software Development,Yes,Remote,3.7
9.3,78590.63,3.5,6.0,26.9,Male,Marketing,Yes,Remote,3.9
6.1,63986.32,2.8,7.7,28.7,Female,Software Development,No,Remote,2.6
7.8,55189.24,2.4,6.7,31.3,Male,Product Management,No,Remote,3.3
8.6,73014.13,3.2,7.5,26.7,Male,Product Management,No,Remote,3.6
18.1,119554.88,5.3,4.8,19.4,Female,Product Management,No,Remote,7.6
14.7,120043.61,5.3,4.3,17.6,Female,Marketing,No,Remote,6.2
14.7,105483.36,4.7,5.7,20.4,Male,Software Development,No,On-site,6.2
11.8,87249.6,3.9,5.8,22.7,Male,Product Management,No,Remote,5.0
4.4,29522.68,1.3,9.3,43.1,Female,Software Development,No,On-site,1.9
9.8,91722.21,4.1,5.8,28.1,Female,Software Development,Yes,Remote,4.1
14.9,120915.47,5.4,3.8,19.8,Male,Software Development,No,On-site,6.2
3.7,49376.1,2.2,7.0,36.4,Male,Marketing,No,On-site,1.6
13.2,98487.6,4.4,5.4,24.8,Female,Marketing,No,Remote,5.5
21.6,173165.85,7.7,2.6,9.5,Female,Marketing,No,On-site,9.1
15.3,111245.55,4.9,5.5,16.4,Female,Marketing,No,On-site,6.4
17.1,121379.62,5.4,5.4,17.8,Male,Software Development,No,On-site,7.2
11.1,97669.24,4.3,6.6,21.7,Female,Product Management,No,On-site,4.7
14.8,124952.18,5.5,4.2,15.3,Female,Marketing,No,Remote,6.2
6.4,50388.08,2.2,7.6,25.3,Male,Marketing,Yes,Remote,2.7
14.0,125802.67,5.6,4.2,18.8,Female,Marketing,No,Remote,5.9
13.3,91452.62,4.1,5.5,24.7,Female,Software Development,No,Remote,5.6
11.4,101136.97,4.5,4.5,18.8,Male,Software Development,No,Remote,4.8
16.6,139048.74,6.2,3.8,13.9,Female,Marketing,No,On-site,7.0
7.3,69571.56,3.1,6.0,31.7,Female,Software Development,Yes,Remote,3.1
9.1,72406.15,3.2,6.8,24.2,Female,Software Development,No,On-site,3.8
10.5,86364.48,3.8,7.5,25.2,Female,Product Management,No,Remote,4.4
4.9,69365.39,3.1,6.6,27.0,Male,Marketing,Yes,Remote,2.0
11.1,76745.21,3.4,6.7,28.0,Male,Marketing,Yes,Remote,4.7
1.4,34074.58,1.5,9.3,30.3,Female,Marketing,Yes,Remote,1.0
15.2,117649.75,5.2,4.9,19.3,Male,Product Management,No,On-site,6.4
10.2,89690.87,4.0,6.2,24.6,Male,Software Development,Yes,On-site,4.3
7.4,60082.97,2.7,7.1,30.2,Female,Product Management,Yes,Remote,3.1
5.8,66253.71,2.9,6.9,28.5,Male,Marketing,Yes,On-site,2.4
8.8,76637.09,3.4,6.0,27.5,Female,Software Development,No,On-site,3.7
13.4,89949.9,4.0,6.5,30.6,Male,Software Development,No,Remote,5.6
12.7,101016.9,4.5,4.6,29.1,Male,Marketing,No,On-site,5.3
6.5,58895.84,2.6,8.1,27.2,Female,Marketing,No,On-site,2.7
5.8,87293.04,3.9,5.3,17.4,Female,Software Development,Yes,Remote,2.4
13.3,87761.11,3.9,6.7,26.2,Female,Marketing,No,On-site,5.6
6.4,70236.21,3.1,6.6,28.2,Female,Marketing,No,Remote,2.7
10.3,94046.26,4.2,5.1,26.4,Female,Marketing,Yes,Remote,4.3
10.6,78589.1,3.5,6.9,27.0,Female,Product Management,No,Remote,4.5
11.6,116790.81,5.2,5.3,19.4,Female,Product Management,Yes,On-site,4.8
14.3,108641.0,4.8,5.0,23.6,Female,Marketing,Yes,On-site,6.0
3.7,28813.36,1.3,9.3,40.4,Male,Product Management,No,Remote,1.5
1.0,36284.12,1.6,6.5,27.7,Female,Software Development,No,Remote,1.0
7.2,63061.73,2.8,6.3,25.9,Male,Software Development,Yes,Remote,3.0
19.0,127133.26,5.6,4.9,17.2,Female,Software Development,No,On-site,8.0
20.1,185463.94,8.2,1.7,7.2,Male,Marketing,No,Remote,8.4
19.2,146413.8,6.5,2.8,13.6,Female,Marketing,No,On-site,8.0
9.0,105772.77,4.7,4.9,22.4,Female,Marketing,No,On-site,3.8
1.1,29823.09,1.3,7.9,39.0,Female,Software Development,No,On-site,1.0
1.0,28918.92,1.3,8.6,42.4,Female,Software Development,No,Remote,1.0
6.9,69499.84,3.1,6.7,29.7,Female,Product Management,No,Remote,2.9
9.0,68732.98,3.1,7.1,24.8,Male,Product Management,Yes,Remote,3.8
16.5,184797.89,8.2,1.8,7.1,Female,Marketing,No,On-site,6.9
14.3,111839.01,5.0,5.7,20.0,Male,Marketing,No,On-site,6.0
11.1,102337.82,4.5,5.7,23.2,Female,Marketing,Yes,Remote,4.7
5.6,63869.42,2.8,7.5,30.1,Male,Software Development,No,Remote,2.3
5.2,43867.82,1.9,9.0,40.5,Female,Marketing,Yes,On-site,2.2
11.3,83401.86,3.7,6.1,23.7,Female,Marketing,No,Remote,4.7
13.5,108879.59,4.8,4.5,21.7,Female,Marketing,Yes,Remote,5.7
12.0,72006.75,3.2,7.6,35.2,Female,Software Development,No,On-site,5.0
4.8,57397.13,2.5,7.6,27.6,Female,Product Management,Yes,Remote,2.0
13.3,115558.01,5.1,4.9,19.8,Male,Product Management,Yes,On-site,5.6
12.1,112665.64,5.0,4.7,17.6,Female,Software Development,No,On-site,5.1
